Comment,Designator,Footprint,Quantity,DNP
1uF,"C33,C17,C31,C24,C18,C32",C_0805_2012Metric,6,
1000pF,"C3,C5",C_0805_2012Metric,2,
10uF,"C8,C12,C16,C26,C22,C13,C9",C_0805_2012Metric,7,
0.1uF,"C27,C23,C1,C30,C14",C_0805_2012Metric,7,
2.2uF,"C19,C25",C_0805_2012Metric,2,
2.2nF,"C20,C21",C_0805_2012Metric,2,
100pF,C6,C_0805_2012Metric,1,
120pF,C7,C_0805_2012Metric,1,
0.01uF,C15,C_0805_2012Metric,1,
220uF,C29,C_1206_3216Metric,1,
1uF/ 500V,"C2,C4",C_2220_5750Metric,2,
20uF,C28,CAPC1810X80N,1,
PESD5V0S1BA,"D10,D12,D11",D_SOD-323,3,
D_Schottky,D3,D_SOD-323,1,
ES1H,"D2,D1",DIOM4226X244N,2,
ESP32-S3-WROOM-1-N8,U4,ESP32S3WROOM1N8R2,1,
USB4105-GF-A,J1,GCT_USB4105-GF-A,1,
FerriteBead_Small,"FB2,FB1",L_0603_1608Metric,2,
2.2uH,L1,L_1008_2520Metric,1,
YELLOW,"D5,D6,D8,D9,D4",LED_0805_2012Metric,5,
BLUE,D7,LED_0805_2012Metric,1,
MEM2061-01-188-00-A,J3,MEM2061-01-188-00-A_GCT,1,
LM393BIPWR,U1,PW0008A-MFG,1,
10k,"R44,R43,R3,R12,R31,R13,R29,R25,R28,R34,R5,R10,R33",R_0805_2012Metric,13,
470R,"R30,R32",R_0805_2012Metric,2,
33R,"R21,R23,R24",R_0805_2012Metric,3,
4.7k,"R39,R37,R41,R38,R42,R40",R_0805_2012Metric,6,
5.1k,"R26,R22",R_0805_2012Metric,2,
100R,R9,R_0805_2012Metric,1,
220R,"R16,R14,R17,R15,R18,R19,R1",R_0805_2012Metric,7,
1M,R27,R_0805_2012Metric,1,
10R,R11,R_0805_2012Metric,1,
1K,R8,R_0805_2012Metric,1,
22k,R2,R_0805_2012Metric,1,
2.7k,R20,R_0805_2012Metric,1,
1M,R7,R_1210_3225Metric,1,
10R,R6,R_2512_6332Metric,1,
560k,R4,R_2512_6332Metric,1,
PAM8406DR,U5,SOP-16_3.9x9.9mm_P1.27mm,1,
AO3400A,Q1,SOT-23,1,
TPS613222ADBV,U3,SOT-23-5,1,
AP7363-33D-13,U2,TO252-3L_DIO,1,
PCM5102,U6,TSSOP-20_4.4x6.5mm_P0.65mm,1,